Id,ListenScript,Type,Reward,RewardType
id,,种类,,
tutorial_ameliya,,新手引导,100,Truth
statue_upgrade,,新手引导,100,Truth
witch_skill,,新手引导,100,Truth
prebattle_setup,,新手引导,100,Truth
skip_card_reward,,新手引导,100,Truth
safebox,,新手引导,100,Truth
send_emoji,,新手引导,100,Truth
unload_relic,,新手引导,100,Truth
create_magic,,新手引导,100,Truth
choose_branch,,新手引导,100,Truth
clear_ameliya,,角色成就,50,Time
clear_nana,,角色成就,50,Time
clear_adela,,角色成就,50,Time
clear_emiya,,角色成就,50,Time
clear_vivian,,角色成就,50,Time
clear_caroline,,角色成就,50,Time
clear_coco,,角色成就,50,Time
clear_once,,通关成就,100,Time
clear_slot,,通关成就,100,Time
abyss_1,,通关成就,100,Time
abyss_2,,通关成就,100,Time
abyss_3,,通关成就,100,Time
abyss_4,,通关成就,100,Time
boss_night_avatar,,boss成就,200,Truth
boss_holy_judgement,,boss成就,200,Truth
boss_hero_phase3,,boss成就,200,Truth
boss_demon_king,,boss成就,200,Truth
one_hit_kill,,挑战成就,60,Time
burn_20,,挑战成就,60,Time
small_deck,,挑战成就,60,Time
large_deck,,挑战成就,60,Time
play_30,,挑战成就,60,Time
strength_cap,,挑战成就,60,Time
perceive_cap,,挑战成就,60,Time
wisdom_cap,,挑战成就,60,Time
lucky_cap,,挑战成就,60,Time
defend_400,,挑战成就,60,Time
max_hp,,挑战成就,60,Time
damage_2000,,挑战成就,60,Time
heal_100,,挑战成就,60,Time
win_without_card,,挑战成就,60,Time
die_by_alchemy,,挑战成就,60,Time
die_by_contract,,挑战成就,60,Time
hp_1000_before_12,,挑战成就,60,Time
nana_devour_teammate,,挑战成就,60,Time
clean_shot,,挑战成就,60,Time
adela_obsidian_legion,,挑战成就,60,Time
third_tier_spell,,挑战成就,60,Time
resentment_99,,挑战成就,60,Time
resurrect_3,,挑战成就,60,Time
extraordinary_9999,,挑战成就,60,Time
statue_all,,解锁成就,60,Time
gold_1,,解锁成就,60,Time
