Id,Weight,OwnScript,FightScript,Icon,Type,Source,Rarity,PackBelong
id,权重,本身脚本;,战斗脚本,图片名称,类型,选项 1,稀有度,cardpack id
1,1,,"AddEvent<BurnData>(""BurnCard"",(burnData)=>{
            DataConfig config=burnData.data as DataConfig;
            int baseCount=CheckDice.Roll().Value;
            if (baseCount>80)
            {
                AddCardToFightManager(config);
            }
        });",Icon/Blessing/烬中拾遗,正面,技能,3,cardpack_7
2,3,,"AddEvent(""Resurrection"",() => {SetStatus(""Self"");AddBuff(DataId.buff_immortal,""1"");});",Icon/Blessing/死灵,正面,技能,2,cardpack_7
*3,1,,"Vars[""ThisGet""]=""0"";
 SetStatus(""Self"");
 AddEvent(""Resurrection"",() => {
 if (Vars[""ThisGet""]==""0""&&CheckDice.Roll().Value>85)
 {
 Vars[""ThisGet""]=""1"";
 }
 });
 SetStatus(""AllTarget"");
 AddEvent(""Dead"",() => {
 if (Vars[""ThisGet""]==""1"")
 {
 PlayerInfo.RandomAddBless(""1"");
 if (CheckDice.Roll().Value>80)
 {
 PlayerInfo.RandomAddRelic(""1"");
 }
 }
 });",Icon/Blessing/自卑与超越,正面,技能,3,cardpack_7
*4,1,,"Vars[""Used""]=""0"";
 AddEvent(""FightStart"",() => {
 SetStatus(""Self"");
 ChangeDynamicVar(""liveCount"",""1"");
 });
 AddEvent(""Resurrection"",() => {
 if (Vars[""Used""]==""0"")
 {
 Vars[""Used""]=""1"";
 SetStatus(""AllFriends"");
 int friendCount = Object.Count;
 SetStatus(""Self"");
 SetHp((Self.MaxHp*friendCount/4).ToString());
 }
 });",Icon/Blessing/士兵,正面,技能,3,cardpack_7
5,5,,"AddEvent(""Action"",() => {
            Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])+1).ToString();
            if (int.Parse(Vars[""ThisCount""])%3==0)
            {
                SetStatus(""AllTarget"");
 Resentment(""1"");
            }
 
 });",Icon/Blessing/咒怨的加护,正面,技能,3,cardpack_5
7,1,,"AddEvent<HurtData>(""Hurt"", (data) =>
        {
            if (data.sourceId==Self.InstanceId)
            {
                return;
            }
            SetStatusById(data.sourceId);
            if (Object.Count == 0)
            {
                return;
            }
            if (CheckDice.Roll().Value > 50)
            {
                AddBuff(DataId.buff_resentment, ""1"");
            }
            if (CheckDice.Roll().Value > 50)
            {
                var b = Object[0].GetBuff(DataId.buff_bleeding);
                if (b != null)
                {
                    RunImmediately(DataId.buff_bleeding, ""Action"");
                }
                var burn = Object[0].GetBuff(DataId.buff_burn);
                if (burn != null)
                {
                    RunImmediately(DataId.buff_burn, ""Action"");
                }
            }
        });",Icon/Blessing/怨憎十四面骰,正面,技能,3,cardpack_7
*8,1,,"SetStatus(""AllTarget"");
 AddEvent(""Dead"",() => {
 if (!PlayerInfo.RelicList.Any(x=>x.data[""Id""]==DataId.CrowdFundingRelic_12))
 {
 return;
 }
 SetStatus(""Self"");
 ChangeHp((Self.MaxHp/2).ToString());
 PlayerInfo.ChangeSelected(""1"");
 });",Icon/Blessing/士兵,正面,技能,4,cardpack_8
*9,1,,"AddEvent(""FightStart"",() => {SetStatus(""Self"");ChangeMoney((PlayerInfo.Money/10).ToString());});",Icon/Blessing/士兵,正面,技能,2,cardpack_17
*10,1,,"AddEvent(""FightStart"",() => {SetStatus(""Self"");AddBuff(DataId.buff_impregnable,""1"");AddBuff(DataId.buff_evergreen,""1"");});",Icon/Blessing/士兵,正面,技能,2,cardpack_16
