Id,InitScript,ApplyScript,ClearScript,ReducePerTurn,ReducePerAttacked,ReducePerUse,UpperBound,Icon,Type,Rarity,Effects,SoundEffects,Action,CanZero
BUFF的ID（唯一英文）,,BUFF生效时的效果,清除时效果,层数每回合减少数,层数每受击减少数,层数每使用卡牌减少数,层数上限,图标路径,类型,,,,纯攻击动画,
Law:Judgment,,"SetStatus(""AllTarget"");
        AddEvent(""ICreateCardItem"",()=>
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""])%3 == 0)
            {
                if (HandCard.Count == 0) return;
        HandCard[DefaultDice.WithRange(0, HandCard.Count - 1).Roll().Value].Reverse();
            }
        });",,0,0,0,1,Icon/Buff/认知遮蔽,特性,4,,,,FALSE
Law:Death,,"AddEvent(""StartRound"",()=>
        {
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
        });","if (int.Parse(Vars[""ThisCount""])>= 6*PlayerInfo.PlayerCount)
            {
                SetStatus(""AllTarget"");
                Damage(Object[0].MaxHp.ToString(),""True"");
                Damage(Object[0].MaxHp.ToString(),""True"");
            }",1,0,0,8,Icon/Buff/律令自毁,特性,4,,,,FALSE
Law:Supreme,,"AddEvent(""EndRound"",()=>
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            if (int.Parse(Vars[""ThisCount""])%3 == 0)
            {
                SetStatus(""Self"");
                RemoveAllBadBuff(""0"");
            }
        });",,0,0,0,1,Icon/Buff/液态身躯,特性,4,,,,FALSE
Transcendent,,"SetStatus(""Self"");
        AddEvent(""SpecialBuff_TranscendentOnLevelChange"",()=>
        {
            ChangeDynamicVar(""AttackedDefaultDamage"", ""-4"");
            ChangeDynamicVarPercent(""AttackedPercentDamage"", ""-30"");
            ChangeDynamicVarPercent(""PercentDamage"", ""30"");
            AddEvent(""Action"",()=>
            {
                SetStatus(""AllTarget"");
                ChangeHp(""-4"");
            });
        });",,0,0,0,1,Icon/Buff/庞然巨兽,特性,4,,,,FALSE
ImmortalGodhead,,"SetStatus(""Self"");
        AddEvent(""Dead"",()=>{
            
            if (Self != null && Self.GetBuff(""SpecialBuff_ImmortalGodhead"") != null&&Self.GetBuff(""SpecialBuff_ImmortalGodhead"").buffConfig.Level!=1)
            {
                Resurrection(""100"");
        
            if (Self != null )
            {
                AddBuff(DataId.SpecialBuff_ImmortalGodhead, ""-1"");
            }
            }
            });
            AddBuff(DataId.buff_limitdamage, ""1"");
        AddEvent(""SpecialBuff_ImmortalGodheadOnLevelChange"", () =>
        {
            if (Self != null && Self.GetBuff(""SpecialBuff_ImmortalGodhead"") != null)
            {
                AddBuff(DataId.buff_limitdamage, ""1"");
                if (Self.GetBuff(DataId.SpecialBuff_ImmortalGodhead).buffConfig.Level!=3)
                {
                    ChangeDynamicVarPercent(""MaxChangeHp"", ""-100"");
                }
            }
        });

        AddEvent(""StartRound"", () =>
        {
            if (Self==null)
            {
                return;
            }
            ChangeDynamicVarPercent(""MaxChangeHp"", (100f-Self.dynamicVariables[""MaxChangeHp""]*100f).ToString());
            SetStatus(""Self"");
        });",,0,0,0,3,Icon/Buff/固化灵魂,特性,4,,,,FALSE
expiation,,"AddEvent(""StartRound"",()=>{Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])+1).ToString();
        if (int.Parse(Vars[""ThisCount""])>=4)
        {
            SetStatus(""AllTarget"");ChangeHp(""15"");SetStatus(""Self"");ChangeHp(""-9999"");
PlayerInfo.GiveWin();
        }
        });
        AddEvent(""Dead"",()=>{if (int.Parse(Vars[""ThisCount""])<4)
        {
           SetStatus(""AllTarget"");ChangeHp(""-15"");
        }
        });",,1,0,0,99,Icon/Buff/惊喜!,特性,4,,,,FALSE
ThievesKing,"if (int.Parse(PlayerInfo.GetTagDiff())>30)
        {
            AddDescription(""1"", ""Value"", ""10"");
            AddDescription(""2"", ""Value"", ""5"");
        }
        else
        {
            AddDescription(""1"", ""Value"", ""15"");
            AddDescription(""2"", ""Value"", ""4"");
        }","Vars[""ThisCount""] = ""0"";
        Vars[""ExMoney""] = ""0"";
        if (int.Parse(PlayerInfo.GetTagDiff())>30)
        {
            AddEvent(""Action"", () =>
            {
                ChangeMoney(""-10"");
                Vars[""ExMoney""] = (int.Parse(Vars[""ExMoney""]) + 10).ToString();
            });
        AddEvent(""StartRound"",()=>
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            else
            {
                Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            }
            if (int.Parse(Vars[""ThisCount""]) >4*PlayerInfo.PlayerCount)
            {
                EscapeFight();
            }
        });
        }
        else
        {
            AddEvent(""Action"", () =>
            {
                ChangeMoney(""-15"");
                Vars[""ExMoney""] = (int.Parse(Vars[""ExMoney""]) + 15).ToString();

            });
        AddEvent(""StartRound"",()=>
        {
            if (!Vars.ContainsKey(""ThisCount""))
            {
                Vars[""ThisCount""] = ""0"";
            }
            else
            {
                Vars[""ThisCount""] = (int.Parse(Vars[""ThisCount""]) + 1).ToString();
            }
            if (int.Parse(Vars[""ThisCount""]) >3*PlayerInfo.PlayerCount)
            {
                EscapeFight();
            }
        });
        }
        
        SetStatus(""Self"");
        AddEvent(""Dead"",()=> { SetStatus(""AllTarget"");ChangeMoney((100+int.Parse(Vars[""ExMoney""])).ToString()); });
",,0,0,0,1,Icon/Buff/盗贼,特性,4,,,,FALSE
UnparalleledPower,,"Vars[""ThisCount""]=""0"";
        AddEvent(""EndRound"",()=>
        {
            if (int.Parse(Vars[""ThisCount""])>1)
            {
                return;
            }
            Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])+1).ToString();
            SetStatus(""Self"");
            ChangeHp((Self.MaxHp/4*-1).ToString());
          
            GetEnemy(Self).Attack*=2;
        });",,0,0,0,1,Icon/Buff/戴冠者,特性,4,,,,FALSE
believer,,"AddEvent(""Hurt"", () =>
        {
            if (Vars[""ThisCount""] == ""0"" && Self.CurHp < (Self.MaxHp / 2))
            {
                Vars[""ThisCount""] = ""2"";
                ChangeHp(""9999"");
                var enemy = GetEnemy(Self);
                int val1 = int.Parse(atk()) * 3 / 10;
                int val2 = int.Parse(def()) * 3 / 10;
                enemy.Attack += val1;
                enemy.Defend += val2;
            }
            else
            {
                return;
            }
        });",,0,0,0,1,Icon/Buff/梅花,特性,4,,,,FALSE
