Id,Rarity,Expend,Tag,InitScript,DrawScript,UseScript,DropScript,Icon,Effects,Action,PackBelong
唯一的标识（不能重复）,稀有度,花费,标签,卡牌初始化脚本,卡牌抽到后执行,卡牌使用后执行,卡牌进入弃牌堆后执行,图标资源的路径,特效,动作,cardpack id
1,2,1,,"Vars[""BaseScript""]=""AttackCardItem"";AddDescription(""1"",""Buff"",""1"");AddDescription(""2"",""Value"",""3"");",,"SetStatus(""Target"");for(int i=0;i<3;i++){Resentment(""1"");}if(Object.Count>0){var t=Object[0];var buffs=t.GetBuffs();if(buffs!=null){var neg=buffs.Where(x=>x!=null&&x.buffConfig!=null&&x.buffConfig.dataConfig.data[""Type""]==""负面"").ToArray();foreach(var b in neg){SetStatusById(t.InstanceId);AddBuff(b.buffConfig.BuffId,""1"");}int nt=neg.Select(x=>x.buffConfig.BuffId).Distinct().Count();var re=t.GetBuff(DataId.buff_resentment);int rv=re==null?0:re.buffConfig.Level;if(rv*nt>t.CurHp){SetStatusById(t.InstanceId);Damage(t.CurHp.ToString(),""True"");}}}",,Icon/Card/法薇尔咒杀术,,Skill,cardpack_5
2,2,1,Burnout,"Vars[""BaseScript""]=""AttackCardItem"";AddDescription(""1"",""Buff"",""1"");",,"SetStatus(""Target"");int nt=0;if(Object.Count>0){var buffs=Object[0].GetBuffs();if(buffs!=null){nt=buffs.Where(x=>x!=null&&x.buffConfig!=null&&x.buffConfig.dataConfig.data[""Type""]==""负面"").Select(x=>x.buffConfig.BuffId).Distinct().Count();}}AddBuff(DataId.buff_weak,(1+1*nt).ToString());",,Icon/Card/空寂凄冷,,,cardpack_5
3,1,1,,"Vars[""BaseScript""]=""AttackCardItem"";AddDescription(""1"",""Damage"",""1"");AddDescription(""2"",""Buff"",""1"");",,"SetStatus(""Target"");int plus=0;if(Object.Count>0){var re=Object[0].GetBuff(DataId.buff_resentment);
        if(re!=null){plus=re.buffConfig.Level/3;}}
        Damage((1+plus).ToString());Resentment((1+plus).ToString());
        AddCardToDeckById(dataConfig.data[""Id""],false);",,Icon/Card/裂解恶念,,Skill,cardpack_5
4,1,1,,"Vars[""BaseScript""]=""AttackCardItem"";AddDescription(""1"",""Damage"",""1"");
        int baseDa=1;
        if (!Self.IsNull())
        {
            baseDa=Self.DamageCalculate(1);
        if (Object.Count>0)
        {
            baseDa=Object[0].UnDamageCalucate(baseDa);
        }
        if (baseDa>10)
        {
            baseDa=10;
        }
        }
        
        AddDescription(""2"",""Value"",(baseDa).ToString());",,"SetStatus(""Target"");for(int i=0;i<3;i++){Damage(""1"");}
        int baseDa=Self.DamageCalculate(1);
        if (Object.Count>0)
        {
            baseDa=Object[0].UnDamageCalucate(baseDa);
        }        if (baseDa>10)
        {
            baseDa=10;
        }
        Resentment(baseDa.ToString());",,Icon/Card/哀恨戳刺,,Attack,cardpack_5
*5,2,1,,"Vars[""BaseScript""]=""AttackCardItem"";AddDescription(""1"",""Buff"",""1"");AddDescription(""2"",""Damage"",""8"");",,"SetStatus(""Target"");Resentment(""1"");int nt=0;if(Object.Count>0){var buffs=Object[0].GetBuffs();if(buffs!=null){nt=buffs.Where(x=>x!=null&&x.buffConfig!=null&&x.buffConfig.dataConfig.data[""Type""]==""负面"").Select(x=>x.buffConfig.BuffId).Distinct().Count();}}if(nt>0){Damage((8*nt).ToString());}",,Icon/Card/卡面占位,,Skill,cardpack_5
6,3,1,,"Vars[""BaseScript""]=""CommonCardItem"";AddDescription(""1"",""Defence"",""10"");AddDescription(""2"",""Value"",""8"");
       AddDescription(""3"",""Draw"",""1"");AddDescription(""4"",""Buff"",""100""); if (int.Parse(Vars[""ThisCount""])<2)
        {
            Vars[""NeedRemove""]=""False"";
        }
        else
        {
            Vars[""NeedRemove""]=""True"";
        }",,"SetStatus(""Self"");int c=int.Parse(Vars.GetValueOrDefault(""ThisCount"",""0""))+1;Vars[""ThisCount""]=c.ToString();
       if(c==1){ChangeDefence(""10"");}else if(c==2){ChangeHp(""8"");DrawCount(""1"");}
       else if(c>=3){AddBuff(""buff_rebirth"",""100"");}",,Icon/Card/探究永生,,,cardpack_7
7,2,1,Burnout,"Vars[""BaseScript""]=""CommonCardItem"";",,"List<IDataConfig> cards = DeckCard.Cast<IDataConfig>().ToList();
      CopyCardWare(""1"",cards,"""");",,Icon/Card/瞳映岐影,,,cardpack_7
8,3,1,,"Vars[""BaseScript""]=""CommonCardItem"";AddDescription(""1"",""Buff"",""9"");
       if (PlayerInfo.SpecialVars==null)
       {
         return;
       }
       int rc=PlayerInfo.SpecialVars.ContainsKey(""ResurrectionCount"")?int.Parse(PlayerInfo.SpecialVars[""ResurrectionCount""]):0;
        if (rc!=0)
        {
            Vars [""SpecialTag""]=Vars.GetValueOrDefault(""SpecialTag"","""")+"",Recycle"";
            TagCheck(dataConfig,""Recycle"");
        }",,"SetStatus(""Self"");
        DrawCount(""1"");
        int rc=PlayerInfo.SpecialVars.ContainsKey(""ResurrectionCount"")?int.Parse(PlayerInfo.SpecialVars[""ResurrectionCount""]):0;
        if (rc!=0)
        {
            AddBuff(""buff_rebirth"",""9"");
        }",,Icon/Card/衔尾蛇环,,,cardpack_7
9,2,1,Burnout,"Vars[""BaseScript""]=""CommonCardItem"";AddDescription(""1"",""Buff"",""4"");AddDescription(""2"",""Money"",""100"");",,"SetStatus(""Self"");AddBuff(DataId.buff_elements,""4"");if(PlayerInfo.SpecialVars.ContainsKey(""ResurrectionCount"")&&int.Parse(PlayerInfo.SpecialVars[""ResurrectionCount""])>0){ChangeMoney(""100"");}",,Icon/Card/生之礼赞,,,cardpack_7
