Id,Rarity,Expend,Tag,InitScript,DrawScript,UseScript,DropScript,Icon,Effects,Action
唯一的标识（不能重复）,稀有度,消耗的费用,标签,卡牌初始化脚本,卡牌抽到后执行,卡牌使用后执行,卡牌进入弃牌堆后执行,图标资源的路径,特效,动作
*1,3,0,,"Vars[""BaseScript""] = ""CommonCardItem""; Vars[""DesVal1""] = PlayerInfo.SkillTime.ContainsKey(DataId.careercard_1) ? PlayerInfo.SkillTime[DataId.careercard_1].ToString() : ""0"";",,"SetStatus(""Self"");
        if (DeckCard==null)
        {
            return;
        }
        if ( DeckCard.Count == 0)
        {
            PlayerInfo.ShowCaption(""Your draw pile is empty"");
            return;
        }
        if (!PlayerInfo.SkillTime.ContainsKey(DataId.careercard_1))
        {
            PlayerInfo.SkillTime[DataId.careercard_1] = 0;
        }
        if (CardTopCheck())
        {
            PlayerInfo.ShowCaption(""你的手牌数量已达上限"");
            return;
        }
  PlayerInfo.SkillTime[DataId.careercard_1] += 1;  
         PackToDeckAction(""1"", DeckCard.Cast<IDataConfig>().ToList(), (list) =>
        {
            if (list.Count == 0)
            {
                PlayerInfo.SkillTime[DataId.careercard_1] = 0;
                UpdateSkillTime();
                return;
            }
            else
            {
                GetCardFromDeck(list[0]);
            }
        });",,Icon/Card/赝造神选,强化,
*2,3,0,,"Vars[""BaseScript""]=""AttackCardItem""; AddDescription(""1"",""Damage"",""5"");Vars[""DesVal2""] = PlayerInfo.SkillTime.ContainsKey(DataId.careercard_2) ? PlayerInfo.SkillTime[DataId.careercard_2].ToString() : ""0"";",,"SetStatus(""Target"");
        int count = 0;
        foreach (var item in Object)
        {
                var buffs = item.GetBuffs();
                Log(buffs.Length.ToString());
                for (int i = 0; i < buffs.Length; i++)
                {
                    if (buffs[i] == null)
                    {
                        continue;
                    }
                    if (buffs[i].buffConfig.dataConfig.data[""Type""] == ""负面"")
                    {
                        count += Math.Min(Math.Max(1,
                        int.Parse(buffs[i].buffConfig.dataConfig.data[""Rarity""])*buffs[i].buffConfig.Level/5),10);
                    }
                }
        }
      if (Object.Count>0&&Object[0]!=Self)
      {
        Damage(""5"");
        if (!Object[0].InstanceId.Contains(""e""))
        {
            PlayerInfo.UpdateAch(""achievement_nana_devour_teammate"",1);
        }
      }
        RemoveAllBadBuff(""0"");
        SetStatus(""Self"");
        AddBuff(DataId.buff_DoomPower, count.ToString());
        if (!PlayerInfo.SkillTime.ContainsKey(DataId.careercard_2))
        {
            PlayerInfo.SkillTime[DataId.careercard_2] = 0;
        }
        PlayerInfo.SkillTime[DataId.careercard_2] += 5;
        SetStatus(""Target"");",,Icon/Card/赝造神选,吞噬,Skill
*3,3,0,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""] = PlayerInfo.SkillTime.ContainsKey(DataId.careercard_3) ? PlayerInfo.SkillTime[DataId.careercard_3].ToString() : ""0"";",,"SetStatus(""Self"");
        AddBuff(""SpecialBuff_CalamityIncarnates"",""1"");
        if (!PlayerInfo.SkillTime.ContainsKey(DataId.careercard_3))
        {
            PlayerInfo.SkillTime[DataId.careercard_3] = 0;
        }
        PlayerInfo.SkillTime[DataId.careercard_3] += 2; 
        ChangeCareer(DataId.career_4);",,Icon/Card/赝造神选,强化,Special
*4,3,0,,"Vars[""BaseScript""]=""CommonCardItem"";Vars[""DesVal1""] = PlayerInfo.SkillTime.ContainsKey(DataId.careercard_4) ? PlayerInfo.SkillTime[DataId.careercard_4].ToString() : ""0"";",,"if (!PlayerInfo.SkillTime.ContainsKey(DataId.careercard_4))
        {
            PlayerInfo.SkillTime[DataId.careercard_4] = 0;
        }
        PlayerInfo.SkillTime[DataId.careercard_4] +=12;
       if (PlayerInfo.SpecialVars==null)
        {
            return;
        }
        DataConfig temp;
        int count=int.Parse(PlayerInfo.SpecialVars.GetValueOrDefault(""Soul"",""0""));
        if (count<100)
        {
            temp = new(DataId.nocard_1, DataType.Card);
        }
        else if (count<200)
        {
            temp = new(DataId.nocard_2, DataType.Card);
        }
        else
        {
            temp = new(DataId.nocard_3, DataType.Card);
        }
        var tempList=new List<CardItem>(HandCard);
        PlayerInfo.UpdateAch(""achievement_adela_obsidian_legion"",tempList.Count);
        foreach (var item in tempList)
        {
            item.TransformToConfiguredType(temp);
        }
",,Icon/Card/赝造神选,强化,
*5,3,0,,"Vars[""BaseScript""]=""AttackCardItem""; Vars[""DesVal1""] = PlayerInfo.SkillTime.ContainsKey(DataId.careercard_5) ? PlayerInfo.SkillTime[DataId.careercard_5].ToString() : ""0"";",,"SetStatus(""Target"");
        DrawCount(""5"");
        AddBuff(DataId.buff_WailingWall,""1""); if (!PlayerInfo.SkillTime.ContainsKey(DataId.careercard_5))
        {
            PlayerInfo.SkillTime[DataId.careercard_5] = 0;
        }
PlayerInfo.SkillTime[DataId.careercard_5] +=3;",,Icon/Card/赝造神选,强化,
*6,3,0,,"Vars[""BaseScript""]=""AttackCardItem""; Vars[""DesVal1""] = PlayerInfo.SkillTime.ContainsKey(DataId.careercard_6) ? PlayerInfo.SkillTime[DataId.careercard_6].ToString() : ""0"";",,"SetStatus(""Target"");
       DesEnemyAction();if (!PlayerInfo.SkillTime.ContainsKey(DataId.careercard_6))
        {
            PlayerInfo.SkillTime[DataId.careercard_6] = 0;
        }
PlayerInfo.SkillTime[DataId.careercard_6] +=3;",,Icon/Card/赝造神选,,
*7,3,0,,"Vars[""BaseScript""]=""CommonCardItem""; Vars[""DesVal1""] = PlayerInfo.SkillTime.ContainsKey(DataId.careercard_7) ? PlayerInfo.SkillTime[DataId.careercard_7].ToString() : ""0"";",,"PlayerInfo.EventTrigger(""RandomEffect""+Self.InstanceId); if (!PlayerInfo.SkillTime.ContainsKey(DataId.careercard_7))
        {
            PlayerInfo.SkillTime[DataId.careercard_7] = 0;
        }
PlayerInfo.SkillTime[DataId.careercard_7] +=2;",,Icon/Card/赝造神选,骰子,
*8,3,0,,"Vars[""BaseScript""]=""AttackCardItem""; Vars[""DesVal1""] = PlayerInfo.SkillTime.ContainsKey(DataId.careercard_8) ? PlayerInfo.SkillTime[DataId.careercard_8].ToString() : ""0"";",,"SetStatus(""Target"");
 if (Object.Count == 0 || Object[0] == null)
 {
 return;
 }
 var target = Object[0];
 var buffs = target.GetBuffs();
 if (buffs == null)
 {
 return;
 }
 SetStatus(""Self"");
 foreach (var buff in buffs)
 {
 if (buff == null || buff.buffConfig == null)
 {
 continue;
 }
 if (buff.buffConfig.Type != ""正面""&&buff.buffConfig.Type != ""负面"")
 {
 continue;
 }
 AddBuff(buff.buffConfig.BuffId, buff.buffConfig.Level.ToString());
 }
 if (!PlayerInfo.SkillTime.ContainsKey(DataId.careercard_8))
 {
 PlayerInfo.SkillTime[DataId.careercard_8] = 0;
 }
 PlayerInfo.SkillTime[DataId.careercard_8] +=5;",,Icon/Card/赝造神选,摹写,
*9,3,0,,"Vars[""BaseScript""]=""CommonCardItem""; Vars[""DesVal1""] = PlayerInfo.SkillTime.ContainsKey(DataId.careercard_9) ? PlayerInfo.SkillTime[DataId.careercard_9].ToString() : ""0"";",,"if (DeckCard == null || DeckCard.Count == 0)
        {
            PlayerInfo.ShowCaption(""Your draw pile is empty"");
            return;
        }
        if (!PlayerInfo.SkillTime.ContainsKey(DataId.careercard_9))
        {
            PlayerInfo.SkillTime[DataId.careercard_9] = 0;
        }
        PlayerInfo.SkillTime[DataId.careercard_9] += 2;
        PackToDeckAction(""1"", DeckCard.Cast<IDataConfig>().ToList(), (list) =>
        {
            if (list.Count == 0)
            {
                PlayerInfo.SkillTime[DataId.careercard_9] -=2;
                UpdateSkillTime();
                return;
            }
            
            var selected = list[0] as DataConfig;
            if (selected == null)
            {
                PlayerInfo.SkillTime[DataId.careercard_9] -=2;
                UpdateSkillTime();
                return;
            }
            int expend = int.Parse(selected.data.GetValueOrDefault(""Expend"", ""0""));
            int rarity = int.Parse(selected.data.GetValueOrDefault(""Rarity"", ""1""));
            PlayerInfo.RemoveCard(selected.InstanceID);
            BurnCardByData(selected);
            string TargetId="""";
            if (rarity <= 2)
            {
                if (expend <= 1)
                {
                    TargetId=DataId.blessing_43;
                }
                else if (expend == 2)
                {
                    TargetId=DataId.blessing_44;
                }
                else
                {
                    TargetId=DataId.blessing_45;
                }
            }
            else
            {
                if (expend <= 1)
                {
                    TargetId=DataId.blessing_46;
                }
                else if (expend == 2)
                {
                    TargetId=DataId.blessing_47;
                }
                else
                {
                    TargetId=DataId.blessing_48;
                }
            }
            PlayerInfo.AddBless(TargetId);
            DataConfig newData=new DataConfig(TargetId,DataType.Bless);
            PlayerInfo.ShowItemShowUI(newData.data[""Icon""],newData.data.Localize(""Name""),newData.data.Localize(""Description""));
            newData.scriptExecutor.Self=Self;
            newData.scriptExecutor.Object.Clear();
            newData.scriptExecutor.Object.Add(Self);
            newData.scriptExecutor.RunScript(""FightScript"");
        
    },1.33f);",,Icon/Card/赝造神选,勾画,
