Id,Name,Hp,Attack,Defend,ActionCount,Rarity,InitScript,CardList,AttributeText,Animation
Id,名字,血量,攻击力,防御盾,行动次数,单体强度,初始buff,卡牌列表,"用;分开,不能加空格(现在只是给个演示,因为怪物要重写特性)",
10001,普拉提黏黏,40,7,3,2,1,,"enemycard_WeakLight, enemycard_NeverDead, enemycard_Charge1, enemycard_defence, enemycard_Observe, enemycard_vulnerabilityLight",,AnimationLib/普拉提黏黏
10002,红心女仆,144,12,5,2,2,,"enemycard_vulnerabilityLight, enemycard_PlugCards2, enemycard_Witness, enemycard_Charge1, enemycard_defence, enemycard_OrdinaryHit",,AnimationLib/红心女仆
10003,鼹鼠,70,10,5,2,2,"AddBuff(""SpecialBuff_ThievesKing"", ""1"");","enemycard_Thieves, enemycard_thief, enemycard_defence, enemycard_OrdinaryFiveHit, enemycard_obtainMoney",SpecialBuff_ThievesKing,AnimationLib/鼹鼠
10004,灾厄先兆,50,8,3,2,1,,"enemycard_OrdinaryHit, enemycard_defence, enemycard_NeverDead",,AnimationLib/灾厄先兆
*10005,猎食者,23,5,0,2,1,"if (int.Parse(PlayerInfo.GetTagDiff()) > 20)
        {
            AddBuff(""buff_bloodwall"", ""4"");
        }
        else
        {
            AddBuff(""buff_bloodwall"", ""3"");
        }","enemycard_OrdinaryHit, enemycard_defence",buff_bloodwall,AnimationLib/无形象敌人
10007,失心魔女,166,8,7,3,3,"AddBuff(""SpecialBuff_ManInTheMirror"", ""1"");","enemycard_defence, enemycard_QuadrupleHits, enemycard_WhereverYouGo, enemycard_OrdinaryHit, enemycard_MakeIneffectiveRays1, enemycard_PlugCards1",SpecialBuff_ManInTheMirror,AnimationLib/失心魔女
10008,最后一餐,62,8,6,2,1,,"enemycard_defence, enemycard_QuadrupleHits, enemycard_Licking, enemycard_OrdinaryHit",,AnimationLib/最后一餐
10009,梅花侍从,139,11,8,3,2,"AddBuff(""SpecialBuff_believer"", ""6"");","enemycard_OrdinaryHit,enemycard_defence, enemycard_burn2, enemycard_specialAttack, enemycard_burn1",SpecialBuff_believer,AnimationLib/梅花侍从
10010,深渊之触,76,9,5,2,2,"AddBuff(""SpecialBuff_fluster"",""1"");","enemycard_OrdinaryHit,enemycard_defence,enemycard_OverrunWorkouts,enemycard_OrdinaryFiveHit, enemycard_Charge1",SpecialBuff_fluster,AnimationLib/深渊之触
10014,幽怨之心,99,10,7,2,2,,"enemycard_OrdinaryHit,enemycard_defence,enemycard_WeakLight, enemycard_psychologicalShock",,AnimationLib/幽怨之心
10015,腐化巨蜥,110,10,7,2,3,"AddBuff(""buff_bleeding"", (int.Parse(atk())).ToString());","enemycard_OrdinaryHit, enemycard_defence, enemycard_Dragon'sMajesty, enemycard_FallenDragon, enemycard_QuadrupleHits, enemycard_burn",buff_bleeding,AnimationLib/腐化巨蜥
10016,混血狼裔,130,8,4,2,1,"AddBuff(""buff_frenzy"", ""2"");","enemycard_OrdinaryHit,enemycard_defence,enemycard_NerveReflexes, enemycard_NeverDead",buff_frenzy,AnimationLib/混血狼裔
