Id,Rarity,OwnScript,FightScript,Icon,PackBelong
id,稀有度,获取时的脚本,战斗脚本,图片路径,cardpack id
1,3,"Vars[""ThisCount""]=""9"";","AddEvent(""Resurrection"",()=>{Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])+9).ToString();});
 AddEvent<HurtData>(""Hurt"",(fromdata)=>{
 if (int.Parse(fromdata.val)<Self.MaxHp/20)
 {
 return;
 }
 if (int.Parse(Vars[""ThisCount""])<=0)
 {
 return;
 }
 Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])-1).ToString();
 UpdateRelicShow();
 ChangeHp((int.Parse(fromdata.val)+Self.MaxHp/20).ToString());});",Icon/Relic/蛇蛇的残蜕,cardpack_7
2,2,,"Vars[""Triggered""]=""0"";
 AddEvent(""FightStart"",()=>{ChangePower(""1"");});
 AddEvent(""Resurrection"", () => { Vars[""Triggered""]=""1""; });
 AddEvent(""Win"",()=>{if(Vars[""Triggered""]==""1""){PlayerInfo.ChangeSelected(""2"");Vars[""Triggered""]=""0"";}});",Icon/Relic/重生徽记,cardpack_5
3,3,,"Vars[""ThisCount""]=""0"";
        AddEvent(""BurnCard"", () =>
        {
            AddBuff(DataId.buff_rebirth,""3"");
        });",Icon/Relic/胧月樱,cardpack_7
4,1,"Vars[""ThisCount""]=""1"";"," AddEvent(""Win"", () =>
        {
            
         if (PlayerInfo.enemylevel==3)
         {
            Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])+1).ToString();
         }
        });
       AddEvent(""FightStart"",()=>{if(int.Parse(Vars[""ThisCount""])>0)
        {AddBuff(DataId.buff_rebirth,""100"");}});
        AddEvent(""Resurrection"",()=>{if(int.Parse(Vars[""ThisCount""])>0){Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])-1).ToString();
        UpdateRelicShow();}});AddEvent(""Win"",()=>{if(PlayerInfo.enemylevel==4){Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])+1).ToString();UpdateRelicShow();}});
        AddEvent(""EndRound"",()=>{SetStatus(""Self"");ChangeHp((-Self.CurHp*18/100).ToString());});",Icon/Relic/逝者的庇佑,cardpack_7
5,2,,"AddEvent<HurtData>(""Hurt"",(hurtData) =>
 {
    if (hurtData.sourceId==Self.InstanceId)
    {
        return;
    }
 SetStatusById(hurtData.sourceId);
 if (Object.Count() > 0)
 {
 var ThisStatus = Object[0];
 var buffs=ThisStatus.GetBuffs();
 if (buffs==null)
 {
 return;
 }
 var tempList=buffs.Where(x => x.buffConfig.dataConfig.data[""Type""] == ""负面"").ToList();
 SetStatus(""Self"");
 ChangeHp((tempList.Count().ToString()));
 SetStatusById(ThisStatus.InstanceId);
 foreach (var item in tempList)
 {
 AddBuff(item.buffConfig.dataConfig.data[""Id""],""1"");
 }
 }
 });",Icon/Relic/哀怨结鸣,cardpack_5
6,3,,"SetStatus(""Self"");
 AddEvent(""BurnCard"",()=>{SetStatus(""AllTarget"");Resentment(""2"");});
 AddEvent(""EndRound"",()=>{SetStatus(""Self"");BurnCard(""1"",""2"");});",Icon/Relic/雪日回忆,cardpack_5
7,4,,"SetStatus(""AllTarget"");
 Resentment(""3"");
 SetStatus(""Self"");
 AddEvent(""EndRound"",()=>{SetStatus(""AllTarget"");
 var tempList=new List<IStatusManager>(Object);
 foreach (var tempStatus in tempList)
 {
 if (tempStatus == null)
 {
 return;
 }
 var buffs=tempStatus.GetBuffs();
 if (buffs==null)
 {
 return;
 }
 buffs=buffs.Where(x=>x.buffConfig.dataConfig.data[""Type""]==""负面"").ToArray();
 
 int Length=buffs.Length;
 int count=buffs.Length;
 foreach (var item in buffs)
 {
 AddBuff(item.buffConfig.dataConfig.data[""Id""],count.ToString());
 }
 }
 });",Icon/Relic/洛琳的礼物,cardpack_5
8,4,,"SetStatus(""Self"");
 AddEvent<AddBuffData>(""AddBuff"",(d)=>{
 if(d.data.data[""Type""]!=""负面"")return;
 if(d.fromId!=Self.InstanceId&&d.toId!=Self.InstanceId)return;
 if(HandCard.Count==0)return;
 int idx=DefaultDice.WithRange(0,HandCard.Count-1).Roll().Value;
 var c=HandCard[idx].dataConfig;
 c.Vars[""OnceExCost""]=(int.Parse(c.Vars.GetValueOrDefault(""OnceExCost"",""0""))-1).ToString();
 HandCard[idx].DataUpdate();
 });",Icon/Relic/埃文尔牧的絮语,cardpack_5
9,3,,"SetStatus(""Self"");
        AddEvent<AddBuffData>(""AddBuff"",(d)=>{ if(d.data.data[""Type""]!=""负面"")return; 
 if(d.fromId!=Self.InstanceId||d.dataFromid==dataConfig.data[""Id""])return; SetStatusById(d.toId); 
 AddBuff(DataId.buff_burn, ""1"");});",Icon/Relic/灼魂的白剑,cardpack_5
10,4,,"SetStatus(""All"");
 AddEvent<AddBuffData>(""AddBuff"",(d)=>{
 if(d.data.data[""Type""]!=""负面"")return;
 if(d.toId==Self.InstanceId)return;
 Vars[""ThisCount""]=(int.Parse( Vars[""ThisCount""])+1).ToString();
 if (int.Parse( Vars[""ThisCount""])%2==0)
 {
    SetStatus(""Self"");
 RandomAddGoodBuff(""1"");
 }
 
 });",Icon/Relic/双星,cardpack_5
*11,4,"Vars[""ThisCount""]=""0"";","AddEvent(""ICreateCardItem"",()=>{
 Vars[""ThisCount""]=(int.Parse(Vars[""ThisCount""])+1).ToString();
 if(int.Parse(Vars[""ThisCount""])>=12)
 {
 Vars[""ThisCount""]=""0"";
 if(PlayerInfo.Strength<=PlayerInfo.Wisdom&&PlayerInfo.Strength<=PlayerInfo.Perceive&&PlayerInfo.Strength<=PlayerInfo.Lucky)
 {
 PlayerInfo.Strength+=1;
 }
 else if(PlayerInfo.Wisdom<=PlayerInfo.Perceive&&PlayerInfo.Wisdom<=PlayerInfo.Lucky)
 {
 PlayerInfo.Wisdom+=1;
 }
 else if(PlayerInfo.Perceive<=PlayerInfo.Lucky)
 {
 PlayerInfo.Perceive+=1;
 }
 else
 {
 PlayerInfo.Lucky+=1;
 }
 }
 UpdateRelicShow();
 });",Icon/Relic/风之灵,cardpack_8
