Id,Type,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja
唯一的标识（不能重复）,类型,备注,名称,Name_zh-Hant,Name_en,Name_ja,描述,Description_zh-Hant,Description_en,Description_ja
1,技能牌,Farevell,法薇尔咒杀术,法薇尔咒殺術,Farevell Hex,ファヴェル呪殺術,缠怨{1}次。目标的所有已拥有负面状态增加{0}层。若目标的怨念层数*负面状态种数大于其生命值，对目标造成其剩余生命值的真伤。,纏怨{1}次。目標的所有已拥有負面狀態增加{0}層。若目標的怨念層數*負面狀態種數大于其生命值，目標即死。,"Apply Resentment {1} times. Increase all negative statuses the target already has by {0} stacks. If the target's {buff_resentment} stacks * negative status count exceeds its Health, deal True Damage equal to its remaining Health.",怨念を{1}回付与する。対象がすでに持つすべてのデバフを{0}スタック増加させる。対象の怨念スタック数×デバフ種数がHPを超える場合、対象は即死する。
2,技能牌,思忆雪が（Farevell）,空寂凄冷,空寂凄冷,Bleak Hollow,空寂凄冷,给予{0}层无力；目标每有一种负面状态，额外给予{0}层无力,給予{0}層无力；目標每有一種負面狀態，额外給予{0}層无力,"Apply {0} stacks of {buff_weak}. For each negative status on the target, apply an additional {0} stacks of {buff_weak}.",脱力を{0}スタック付与する。対象のデバフ1種につき、追加で脱力を{0}スタック付与する。
3,技能牌,玉鸢（Farevell）,裂解恶念,裂解惡念,Malice Fracture,悪念裂解,造成{0}伤害，缠怨{1}，对方每有3层怨念，造成的伤害和缠怨就+1；复制一张本牌并置于抽牌堆,造成{0}傷害，纏怨{1}，對方每有3層怨念，造成的傷害和纏怨就+1；複製一張本牌并置於抽牌堆,"Deal {0} damage and apply Resentment {1}. For every 3 {buff_resentment} on the target, damage and Resentment applied +1. Copy this card and put it into the draw pile.",{0}ダメージを与え、怨念を{1}付与する。相手の怨念3スタックごとに、与えるダメージと付与する怨念+1。このカードを1枚コピーして山札に置く。
4,技能牌,沈枕（Farevell）,哀恨戳刺,哀恨戳刺,Spiteful Stab,哀恨の刺突,造成3次{0}点伤害，缠怨{1}。(缠怨数随伤害增加，但是最多10),造成{1}次{0}點傷害，纏怨4。,"Deal {0} damage 3 times. Apply {1} Resentment. Resentment increases with damage dealt, up to 10.",{0}ダメージを{1}回与える。怨念を4付与する。
*5,技能牌,雪兔,哀叹之种,哀嘆之種,Seed of Lament,哀嘆の種,缠怨{0}，目标每有1种负面状态，就造成{1}点伤害。,纏怨{0}，目標每有1種負面狀態，就造成{1}點傷害。,"Apply {0} Resentment. For each type of negative status on the target, deal {1} damage.",怨念を{0}付与する。対象のデバフ1種につき、{1}ダメージを与える。
6,技能牌,蓬莱山辉夜,探究永生,探究永生,Immortal Quest,永生探究,"这张卡每使用一次，获得1点超魔
超魔1：获得{0}点护盾
超魔2：恢复{1}点生命并抽{2}张卡
超魔3：获得{3}层重生，并湮灭此卡牌","这張卡每使用一次，獲得1點超魔
超魔1：獲得{0}點護盾
超魔2：恢復{1}點生命并抽{2}張卡
超魔3：獲得{3}層重生，并湮滅此卡牌（焚毀）","Each time this card is used, gain 1 Overmagic.
Overmagic 1: gain {0} Shield.
Overmagic 2: restore {1} Health and draw {2} cards.
Overmagic 3: gain {3} stacks of {buff_rebirth} and Annihilate this card.","このカードを使用するたび、超魔を1獲得する。
超魔1：{0}シールドを獲得する。
超魔2：HPを{1}回復し、カードを{2}枚引く。
超魔3：重生を{3}スタック獲得し、このカードを湮滅する（焼却）。"
7,技能牌,梅比乌斯生物实验室,瞳映岐影,瞳映岐影,Forkshadow Eyes,瞳に映る岐影,选择抽牌堆中的1张卡牌将其复制到手牌。,選擇抽牌堆中的1張卡牌，將其複製到手牌。,Choose 1 card from the draw pile and copy it to your hand.,ドローパイルからカードを1枚選び、そのコピーを手札に加える。
8,技能牌,Memento,衔尾蛇环,銜尾蛇環,Ouroboros Ring,ウロボロスの環,抽1张牌，若本场战斗重生过，额外获得【重生{0}】并拥有回转词条。,獲得【重生{0}】。,"Draw 1 card. If you have triggered {buff_rebirth} this combat, additionally gain {buff_rebirth} {0} and this card gains Recycle.",【重生{0}】を獲得する。
9,技能牌,慧乃爱,生之礼赞,生之禮讚,Hymn to Life,生の礼賛,获得{0}层元素；若你在本次战斗中【重生】过，获得{1}金币。,獲得{0}層元素；若你在本次戰鬥中【重生】过，獲得{1}金幣；焚毀,"Gain {0} stacks of {buff_elements}. If you have triggered {buff_rebirth} in this combat, gain {1} Gold.",元素を{0}スタック獲得する。この戦闘で【重生】していた場合、{1}ゴールドを獲得する。焼却。
10,技能牌,雏名苍岚,始源序章,始源序章,Origin Prologue,始源序章,消耗一半的【重生】层数，每消耗{0}层，获得1层锋锐,消耗一半的【重生】層數，每消耗{0}層，獲得1層鋒銳,"Spend half your {buff_rebirth} stacks. For every {0} stacks spent, gain 1 stack of {buff_keenedge}.",重生スタックの半分を消費する。{0}スタック消費するごとに、鋭利を1スタック獲得する。
11,技能牌,雏名苍岚,真我重逢,真我重逢,True Reunion,真我との再会,对敌方全体造成1+锋锐层数点伤害{1}次，当前为{0}。本次战斗内每【重生】过一次，基础伤害*2。,對敵方全體造成{0}點直接傷害{1}次，本場戰鬥每【重生】过一次，傷害提高一倍（指數叠加）,"Deal {0} direct damage to all enemies {1} times. For each time you have triggered {buff_rebirth} this combat, double the damage, stacking exponentially.",敵全体に{0}の直接ダメージを{1}回与える。この戦闘で【重生】した回数ごとにダメージが倍になる（指数的に累積）。
*13,技能牌,涩涩蓝狼狼,诅咒之刃,詛咒之刃,Cursed Blade,呪いの刃,"无法以常规手段获得，只能通过【七咒之戒】获得，只有在携带【七咒之戒】时生效
获得{0}层元素，对目标造成{1}点伤害，恢复造成伤害10%的生命，制造一张随机诅咒加入弃牌堆
每点咒力提高该卡牌10%伤害","无法以常規手段獲得，只能透過【七咒之戒】獲得，只有在攜帶【七咒之戒】時生效
獲得{0}層元素，對目標造成{1}點傷害，恢復造成傷害10%的生命，製造一張隨機詛咒加入棄牌堆
每點咒力提高该卡牌10%傷害","Cannot be obtained normally. Only obtained through Seven-Curse Ring and only active while carrying Seven-Curse Ring.
Gain {0} stacks of {buff_elements}, deal {1} damage to the target, heal for 10% of damage dealt, and create a random Curse into the discard pile.
Each Curse Power increases this card’s damage by 10%.","通常手段では獲得できない。【七咒之戒】からのみ獲得でき、【七咒之戒】を所持している時だけ有効。
元素を{0}スタック獲得し、対象に{1}ダメージを与え、与えたダメージの10%分HPを回復し、ランダムな呪いを1枚生成して捨て札に加える。
咒力1点ごとにこのカードのダメージ+10%。"
*14,技能牌,阿巴阿巴,亵渎的蝴蝶赞美诗,褻瀆的蝴蝶讚美诗,Profane Hymn,冒涜の蝶賛美詩,"给予你的手牌{0}张随机诅咒
仪式：回合结束时，若你的手牌中有7种不同的诅咒牌，获得胜利","給予你的手牌{0}張隨機詛咒
儀式：回合結束時，若你的手牌中有7種不同的詛咒牌，獲得胜利","Add {0} random Curse cards to your hand.
Ritual: at turn end, if you have 7 different Curse cards in hand, win the combat.","手札にランダムな呪いカードを{0}枚与える。
儀式：ターン終了時、手札に異なる呪いカードが7種類あるなら、戦闘に勝利する。"
*15,技能牌,申必人,月蚀,月蝕,Lunar Eclipse,月蝕,卡牌中加入随机{0}张诅咒牌，获得{0}层连斩,卡牌中加入隨機{0}張詛咒牌，獲得{0}層連斬,Add {0} random Curse cards to your deck and gain {0} stacks of {buff_contagion}.,デッキにランダムな呪いカードを{0}枚加え、連斬を{0}スタック獲得する。
*16,技能牌,鸢桬牙,超越次元,超越次元,Dimensional Rise,次元超越,"将所有牌洗入抽牌堆，抽{0}张牌，回复所有能量；
此卡魔能消耗降低x点(x为神启层数)","将所有牌洗入抽牌堆，抽{0}張牌，恢復所有能量；
此卡魔能消耗降低x點(x為神啟層數)","Shuffle all cards into the draw pile, draw {0} cards, and restore all Mana.
This card’s Mana cost is reduced by x, where x is {buff_revelation} stacks.","すべてのカードを山札に戻してシャッフルし、カードを{0}枚引き、すべての魔力を回復する。
このカードの魔力消費はx減少する（xは啓示スタック数）。"
