Id,Type,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja
唯一的标识（不能重复）,卡牌类型,消耗费用,名称,名稱,Name,名称,描述,描述,Description,説明
*1,消耗技能牌,0,神选,神選,Divine Selection,神選,从抽牌堆中检索一张牌加入手卡.<br>冷却：1回合。剩余冷却:{0},從抽牌堆中檢索一張牌加入手卡.<br>冷卻：1回合。剩餘冷卻:{0},Search your draw pile for a card and add it to your hand. <br>Cooldown: 1 turn. Remaining cooldown: {0},山札からカードを1枚選択して手札に加える。<br>クールダウン：1ターン。残りクールダウン:{0}
*2,消耗技能牌,0,可食用厄运,可食用厄運,Edible Doom,食せる厄災,选择一名指定对象，吞噬目标身上的所有负面异常，每种buff获得不超过10点的厄运魔能，对目标(如果非自身)造成{0}点伤害<br>冷却：5回合。剩余冷却:{1},"選擇一名指定對象，吞噬目標身上的所有負面異常，並
將異常儲存入奈奈的“胃囊”，獲得不超過10點的厄運魔
能，對目標造成{0}點傷害<br>冷卻：5回合。 剩餘冷卻:{1}","Select a target. Devour all negative anomalies on the target. For each anomaly, gain up to 10 points of {buff_DoomPower}. Deal {0} damage to the target (if not self). <br>Cooldown: 5 turns. Remaining cooldown: {1}",対象を1体選択し、その対象の全てのデバフを捕食する。デバフ1種類につき最大10点の厄災魔力を獲得し、対象（自身でない場合）に{0}ダメージを与える。<br>クールダウン：5ターン。残りクールダウン:{1}
*3,消耗技能牌,0,灾祸具现化,災禍具現化,Calamity Form,災禍の具現化,"获得""灾祸化身"".冷却:2回合 剩余冷却:{0}","獲得""災禍化身"".冷卻:2回合 剩餘冷卻:{0}",Gain {SpecialBuff_CalamityIncarnates}.Cooldown: 2 turns. Remaining cooldown: {0},「災禍の化身」を獲得する。クールダウン：2ターン。残りクールダウン：{0}
*4,消耗技能牌,0,王族律令,王族律令,Royal Decree,王族の律令,"将你的手牌全部变为不高于你灵魂层数的【黑耀棋子】。
每当你抽牌时，此技能冷却额外-1。冷却:12回合 剩余冷却:{0}","將你的手牌全部變為不高於你靈魂層數的【黑耀棋子】。
每當你抽牌時，此技能冷卻額外-1。冷卻:12回合 剩餘冷卻:{0}","Transform all cards in your hand into 【Obsidian Tokens】 with a value not exceeding your {buff_Soul} level.
Each time you draw a card, this skill's cooldown is further reduced by 1. Cooldown: 12 turns. Remaining cooldown: {0}","あなたの手札をすべて、あなたのソウルレベル以下の【黒曜の駒】に変える。
カードを引くたび、このスキルのクールダウンが追加で1減少する。クールダウン：12ターン。残りクールダウン：{0}"
*5,消耗技能牌,0,叹息之墙,嘆息之牆,Wall of Sighs,嘆きの壁,指定一个友方目标，抽取5张卡牌，其回合结束时，焚毁其所有未使用的手牌。冷却:3回合 剩余冷却:{0},指定一個友方目標，抽取5張卡牌，其回合結束時，焚毀其所有未使用的手牌。冷卻:3回合 剩餘冷卻:{0},"Target an ally: Draw 5 cards. At the end of their turn, Burn all unplayed cards in their hand. Cooldown: 3 turns. Remaining cooldown: {0}",味方1体を指定し、カードを5枚引く。そのターン終了時、未使用の手札をすべて焼却する。クールダウン：3ターン。残りクールダウン：{0}
*6,消耗技能牌,0,无光圣盾,無光聖盾,Lightless Aegis,無光の聖盾,指定一个敌人，摧毁第一个攻击意图。冷却:3回合 剩余冷却:{0},指定一個敵人，摧毀第一個攻擊意圖。冷卻:3回合 剩餘冷卻:{0},Target an enemy. Destroy the first attack intent. Cooldown: 3 turns. Remaining cooldown: {0},敵1体を指定し、最初の攻撃意図を破壊する。クールダウン：3ターン。残りクールダウン：{0}
*7,消耗技能牌,0,混沌操纵,混沌操縱,Chaos Control,混沌の操縦,重掷当前标记的混沌效果。冷却:2回合 剩余冷却:{0},重擲當前標記的混沌效果。冷卻:2回合 剩餘冷卻:{0},Reroll the current marked Chaos Effect. Cooldown: 2 turns. Remaining cooldown: {0},現在マークされている混沌効果を振り直す。クールダウン：2ターン。残りクールダウン：{0}
*8,消耗技能牌,0,摹写,摹寫,Imitation,模写,选择一个目标，复制其所有正面与负面buff（包含层数）到自身。冷却:5回合 剩余冷却:{0},選擇一個目標，複製其所有正面與負面buff（包含層數）到自身。冷卻:5回合 剩餘冷卻:{0},Choose a target and copy all positive and negative buffs (including stacks) to yourself. Cooldown: 5 turns. Remaining cooldown: {0},対象を1体選び、そのすべての正面・負面バフ（スタックを含む）を自身にコピーする。クールダウン：5ターン。残りクールダウン：{0}
*9,消耗技能牌,0,勾画世界,勾畫世界,Sketch the World,世界を描く,选择一张抽牌堆中的卡牌湮灭，并根据其消耗和等阶获得对应漫画祝福。冷却:2回合 剩余冷却:{0},選擇一張抽牌堆中的卡牌湮滅，並根據其消耗和等階獲得對應漫畫祝福。冷卻:2回合 剩餘冷卻:{0},Banish a chosen card from the draw pile and gain a matching comic blessing based on its Cost and Rarity. Cooldown: 2 turns. Remaining cooldown: {0},山札からカードを1枚選んで消滅させ、コストとレア度に応じた漫画の祝福を得る。クールダウン：2ターン。残りクールダウン：{0}
