Id,Type,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,第 1 列,第 2 列,第 3 列,第 4 列,第 5 列,第 6 列,第 7 列,第 8 列
唯一的标识（不能重复）,类型,备注,名称,Name_zh-Hant,Name_en,Name_ja,描述,Description_zh-Hant,Description_en,Description_ja,,,,,,,,
1,技能牌,,绝命,絕命,Last Gasp,絶命,"获得{0}层蓄势,自身每损失25点生命，额外获得1层",獲得{0}層{buff_poised}，每失去25點生命，額外獲得1層。,"Gain {0} stack(s) of {buff_poised}. For every 25 Health you have lost, gain 1 additional stack.",{buff_poised}を{0}スタック獲得する。失ったHP25ごとに追加で1スタック獲得する。,,,,,,,,
2,消耗技能牌,,破釜之战,破釜之戰,No Retreat,背水の陣,获得{0}层蓄势。,獲得{0}層{buff_poised}。,Gain {0} stack(s) of {buff_poised}.,{buff_poised}を{0}スタック獲得する。,,,,,,,,
3,技能牌,通用,反击姿态,反擊姿態,Counter Stance,反撃の構え,"获得{0}层强韧,{1}层蓄势,{2}层坚毅。",獲得{0}層{buff_resilient}、{1}層{buff_poised}、{2}層{buff_impregnable}。,"Gain {0} stack(s) of {buff_resilient}, {1} stack(s) of {buff_poised}, and {2} stack(s) of {buff_impregnable}.",{buff_resilient}を{0}スタック、{buff_poised}を{1}スタック、{buff_impregnable}を{2}スタック獲得する。,,,,,,,,
4,技能牌,,瞬念,瞬念,Instant Thought,瞬念,获得{0}层蓄势。,獲得{0}層{buff_poised}。,Gain {0} stack(s) of {buff_poised}.,{buff_poised}を{0}スタック獲得する。,,,,,,,,
5,技能牌,通用,百炼成钢,百鍊成鋼,Tempered Steel,百錬成鋼,获得{0}护盾，获得{1}蓄势。飞升：1点护盾获取量，1/6层蓄势获取量,獲得{0}點護盾，獲得{1}層{buff_poised}。飛升：護盾獲取量+1，{buff_poised}獲取量+1/6層。,"Gain {0} Shield and {1} stack(s) of {buff_poised}. Ascension: Shield gained +1, {buff_poised} gained +1/6 stack.",{0}シールドを獲得し、{buff_poised}を{1}スタック獲得する。飛昇：シールド獲得量+1、{buff_poised}獲得量+1/6スタック。,,,,,,,,
6,技能牌,,集中,集中,Focus,集中,获得{0}点护盾，【裂变】:额外抽{1}张牌,獲得{0}點護盾。【裂變】：額外抽{1}張牌。,Gain {0} Shield. [Fission]: Draw {1} additional card(s).,{0}シールドを獲得する。【裂変】：追加でカードを{1}枚引く。,,,,,,,,
7,技能牌,,堡垒战术,堡壘戰術,Fortress Tactics,要塞戦術,获得反击层数点生命恢复,恢復等同於{buff_counterattack}層數的生命值。,Restore Health equal to your {buff_counterattack} stacks.,{buff_counterattack}のスタック数に等しいHPを回復する。,,,,,,,,
8,技能牌,,吐纳,吐納,Breathwork,吐納,恢复{0}点生命，恢复{1}点魔能，本回合每触发3次【蓄势】，额外生效一次,恢復{0}點生命，恢復{1}點魔能。本回合每觸發3次{buff_poised}，額外生效一次。,"Restore {0} Health and {1} Mana. This turn, this effect triggers one additional time for every 3 times {buff_poised} triggers.",HPを{0}、魔力を{1}回復する。このターン中、{buff_poised}が3回発動するたびにこの効果を追加で1回発動する。,,,,,,,,
9,技能牌,,一瞬千刃,一瞬千刃,Thousand Blades,一瞬千刃,造成反击层数点伤害，每拥有10点护盾或者2层【蓄势】，重复触发一次伤害，最多触发5次,造成等同於{buff_counterattack}層數的傷害。每擁有10點護盾或2層{buff_poised}，額外觸發一次傷害，最多觸發5次。,"Deal damage equal to your {buff_counterattack} stacks. For every 10 Shield or 2 stacks of {buff_poised} you have, trigger this damage 1 additional time, up to 5 times.",{buff_counterattack}のスタック数に等しいダメージを与える。シールド10または{buff_poised}2スタックごとに、このダメージを追加で1回発動する（最大5回）。,,,,,,,,
10,技能牌,,剑意,劍意,Sword Intent,剣意,获得{0}层剑意,獲得{0}層{buff_swordIntent}。,Gain {0} stack(s) of {buff_swordIntent}.,{buff_swordIntent}を{0}スタック獲得する。,,,,,,,,
11,技能牌,,血赐甲胄,血賜甲冑,Bloodgift Armor,血賜の甲冑,获得{0}层生物装甲,獲得{0}層{buff_biologicalArmor}。,Gain {0} stack(s) of {buff_biologicalArmor}.,{buff_biologicalArmor}を{0}スタック獲得する。,,,,,,,,
12,技能牌,,觉醒,覺醒,Awakening,覚醒,"获得{0}层【超凡】{1}点护盾,重复本回合【蓄势】触发次数次(最多5次)",獲得{0}層{buff_extraordinary}與{1}點護盾，依本回合{buff_poised}觸發次數重複生效（最多5次）。,Gain {0} stack(s) of {buff_extraordinary} and {1} Shield. Repeat this effect once for each time {buff_poised} has triggered this turn (max 5 times).,{buff_extraordinary}を{0}スタック、{1}シールドを獲得する。このターン中に{buff_poised}が発動した回数に応じてこの効果を繰り返す（最大5回）。,,,,,,,,
13,技能牌,,迸裂,迸裂,Rupture,炸裂,造成护盾*反击层数/5的伤害，现在为{0},造成護盾×{buff_counterattack}層數/5的傷害，當前為{0}。,Deal damage equal to Shield × {buff_counterattack} stacks / 5. Current: {0}.,シールド×{buff_counterattack}スタック数/5に等しいダメージを与える。現在：{0}。,,,,,,,,
