Id,Type,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja
唯一的标识（不能重复）,卡牌类型,费用,名称,名稱,Name,名称,描述,描述,Description,説明
1,消耗技能牌,0,唤醒仪式,喚醒儀式,Awakening Ritual,覚醒の儀式,从卡组中检索两张【仪式】牌。,從牌組中檢索兩張【儀式】牌。,Search your deck for two [Ritual] cards.,デッキから【儀式】カードを2枚探す。
2,技能牌,,着魔,著魔,Possession,憑依,抽牌直到抽到的不是【仪式】牌。,抽牌直到抽到的不是【儀式】牌。,Draw cards until you draw a non-Ritual card.,【儀式】カード以外を引くまでカードを引く。
3,技能牌,,引思,引思,Thought Lure,思念誘引,抽3张牌，若你没有仪式，则弃3张牌。,抽3張牌，若你沒有儀式，則棄3張牌。,"Draw 3 cards. If you have no Ritual, discard 3 cards.",カードを3枚引く。儀式がない場合、カードを3枚捨てる。
4,技能牌,,仪礼剑,儀禮劍,Ritual Sword,儀礼剣,对所有敌人造成{0}点伤害，随机打出手牌中的一个仪式。,對所有敵人造成{0}點傷害，隨機打出手牌中的一個儀式。,Deal {0} damage to all enemies and randomly play a Ritual from your hand.,敵全体に{0}ダメージを与え、手札の儀式カードをランダムに1枚使用する。
5,技能牌,,祭祀之刃,祭祀之刃,Sacrificial Edge,祭祀の刃,"造成5+所有仪式超魔计数*3点伤害，当前为{0}随机仪式超魔+1。 
向你的卡组添加此牌的复制品。","造成5+所有儀式超魔計數*3點傷害，當前為{0}。隨機儀式超魔+1。
向你的牌組添加此牌的複製品。","Deal 5 + 3 times the total Overmagic of all Rituals as damage, currently {0}. A random Ritual gains +1 Overmagic.
Add a copy of this card to your deck.","5+すべての儀式オーバーマジックカウント*3のダメージを与える。現在は{0}。ランダムな儀式オーバーマジック+1。
このカードのコピーをあなたのデッキに加える。"
6,技能牌,,秘位：爆裂魔法,秘位：爆裂魔法,Sec. Burst Magic,秘位：爆裂魔法,"结束所有仪式。每结束一个仪式超魔+1。 
超魔X：抽X张牌，对所有敌人造成等同所有仪式的超魔总和的伤害。","結束所有儀式。每結束一個儀式，超魔+1。 
超魔X：抽X張牌，對所有敵人造成等同所有儀式的超魔總和的傷害。","End all Rituals. For each Ritual ended, Overmagic +1. 
Overmagic X: Draw X cards. Deal damage to all enemies equal to the total Overmagic of all Rituals.","全ての儀式を終了する。儀式を1つ終了するたび、オーバーマジック+1。 
オーバーマジックX：カードをX枚引く。全ての敵に、全ての儀式のオーバーマジック合計に等しいダメージを与える。"
7,消耗技能牌,,序位：启迪之刻,序位：啟迪之刻,Ord. Enlighten.,序位：啓示の刻,"仪式:每消耗1次能量，超魔+1。
超魔5:每3次消耗能量额外抽1张牌。抽10张牌后结束此仪式。","儀式：每當你消耗1點魔能，超魔+1。 
超魔5：每消耗3點魔能，抽1張牌。 
","Ritual: Whenever you spend 1 Mana, Overmagic +1.
Overmagic 5: For every 3 Mana spent, draw 1 card. End this Ritual after drawing 10 cards.","儀式：あなたがマナを1消費するたび、オーバーマジック+1。 
オーバーマジック5：マナを2消費するたび、カードを1枚引く。 
"
8,消耗技能牌,,序位：刀与盾,序位：刀與盾,Ord. Bladeguard,序位：刀と盾,"仪式：每造成一点伤害，超魔+1。 
超魔X:回合结束时，获得(X)点护盾，结束本仪式。","儀式：每造成1點傷害，超魔+1。 
超魔X:回合結束時，獲得(X)點護盾，結束本儀式。","Ritual: For each 1 damage dealt, Overmagic +1. 
Overmagic X: At turn end, gain (X) Shield and end this Ritual.","儀式：1ダメージを与えるたび、オーバーマジック+1。 
オーバーマジックX:ターン終了時、(X)シールドを獲得し、この儀式を終了する。"
9,消耗技能牌,,序位：魔力回路,序位：魔力迴路,Ord. Mana Loop,序位：魔力回路,"仪式：回合结束时每有一张卡牌，超魔+1。 
超魔X：若超魔>2，下回合开始时，获得X/2点能量，结束本仪式。 ","儀式：回合結束時每有一張卡牌，超魔+1。 
超魔X：若超魔>2，下回合開始時，獲得X/2點魔能，結束本儀式。 
","Ritual: At turn end, Overmagic +1 for each card you have. 
Overmagic X: If Overmagic > 2, at the start of next turn, gain X/2 Mana and end this Ritual. 
","儀式：ターン終了時、カード1枚につきオーバーマジック+1。 
オーバーマジックX：オーバーマジック>2の場合、次のターン開始時にX/2マナを獲得し、この儀式を終了する。 
"
