Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja
唯1标识,备注,名称,名稱,Name,名称,描述,描述,Description,説明
defence,,魔力屏障,魔力屏障,Magic Barrier,防御,增加{0}护盾。,增加{0}護盾。,Gain {0} Shield.,{0}のシールドを獲得する。
OrdinaryHit,,断脊,斷脊,Spine Break,地割り,造成{0}伤害。,造成{0}傷害。,Deal {0} damage.,{0}のダメージを与える。
QuadrupleHits,,破灭,破滅,Ruin,強襲,造成{0}伤害。,造成{0}傷害。,Deal {0} damage.,{0}のダメージを与える。
rejuvenation,,基础再生,基礎再生,Basic Regen,回復,回复{0}生命。,回復{0}生命。,Restore {0} Health.,{0}のHPを回復する。
charmed,,时序魔法：停滞,時序魔法：停滯,Time Magic: Stop,混乱,给与对方{0}层时停。,給予對方{0}層時停。,Apply {0} stack(s) of {buff_timestop} to the enemy.,敵に{buff_timestop}を{0}スタック付与する。
OverrunWorkouts,,刃契,刃契,Blade Pact,刃の契約,给与自身{0}层锋锐。,給予自身{0}層鋒銳。,Gain {0} stack(s) of {buff_keenedge}.,自身に{buff_keenedge}を{0}スタック付与する。
NerveReflexes,,狂暴化,狂暴化,Berserk,狂暴化,给与自身{0}层狂暴。,給予自身{0}層狂暴。,Gain {0} stack(s) of {buff_frenzy}.,自身に{buff_frenzy}を{0}スタック付与する。
fearless,,适应屏障,適應屏障,Adaptive Barrier,傷舐め,给与自身{0}层吸收。,給予自身{0}層吸收。,Gain {0} stack(s) of {buff_vitality}.,自身に{buff_vitality}を{0}スタック付与する。
Witness,,硬质化,硬質化,Hardening,硬化,给与自身{0}层坚毅。,給予自身{0}層堅毅。,Gain {0} stack(s) of {buff_impregnable}.,自身に{buff_impregnable}を{0}スタック付与する。
Toxin1,,腐渊之息：一阶,腐淵之息：一階,Decay Breath I,魔蝕の始まり,给与对方{0}层毒素。,給予對方{0}層毒素。,Apply {0} stack(s) of {buff_toxin} to the enemy.,敵に{buff_toxin}を{0}スタック付与する。
Toxin2,,腐渊之息：二阶,腐淵之息：二階,Decay Breath II,腐淵の息吹,给与对方{0}层毒素。,給予對方{0}層毒素。,Apply {0} stack(s) of {buff_toxin} to the enemy.,敵に{buff_toxin}を{0}スタック付与する。
Toxin3,,蚀髓之刻：一阶,蝕髓之刻：一階,Marrow Rot I,蝕髄の刻,给与对方{0}层毒素。,給予對方{0}層毒素。,Apply {0} stack(s) of {buff_toxin} to the enemy.,敵に{buff_toxin}を{0}スタック付与する。
Toxin4,,蚀髓之刻：二阶,蝕髓之刻：二階,Marrow Rot II,腐髄の淵,给与对方{0}层毒素。,給予對方{0}層毒素。,Apply {0} stack(s) of {buff_toxin} to the enemy.,敵に{buff_toxin}を{0}スタック付与する。
foraging,,法杖敲头,法杖敲頭,Staff Bonk,噛みつき,造成{0}伤害。,造成{0}傷害。,Deal {0} damage.,{0}のダメージを与える。
Licking,,溃烂术,潰爛術,Festering Touch,破甲,给与对方{0}回合腐朽。,給予對方{0}回合腐朽。,Apply {0} turn(s) of {buff_rotten} to the enemy.,敵に{buff_rotten}を{0}ターン付与する。
NeverDead,,活性化,活性化,Activation,自己治癒,赋予自身{0}层自愈。,賦予自身{0}層自癒。,Gain {0} stack(s) of {buff_evergreen}.,自身に{buff_evergreen}を{0}スタック付与する。
