Id,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,第 1 列
唯一id,前缀名,前綴名,Prefix Name,前缀名,后缀描述,后綴描述,Suffix Description,后缀描述,
1,收束命运,收束命運,Fate Convergence,運命収束,命运牌数量减1,命運牌數量減1,Destiny card count reduced by 1,運命カードの数が1枚減少する,
2,权能衰竭,權能衰竭,Powerless,力の枯渇,额外一张命运牌已锁定,額外一張命運牌已鎖定,One additional destiny card is locked,追加で運命カードが1枚ロックされる,
3,机体扩张,機體擴張,Body Expansion,バイオマス増殖,怪物生命额外加10%,怪物生命額外加10%,Monster health increased by 10%,モンスターのHPが10%増加する,
4,锋锐杀意,鋒銳殺意,Lethal Intent,鋭利な殺意,怪物攻击+10%,怪物攻擊+10%,Monster attack increased by 10%,モンスターの攻撃力が10%増加する,
5,绝望深渊,絕望深淵,Abyss of Despair,絶望の深淵,深渊环境+1,深淵環境+1,Abyss environment +1,深淵環境+1,
6,卖方市场,賣方市場,Markup,売り手市場,商店售价提高30%,商點售價提高30%,Shop prices increased by 30%,ショップの販売価格が30%上昇する,
7,腐化异变,腐化異變,Corrupt,汚染された突然変異,敌人战斗开始时获得4层元素,敵人戰鬥開始時獲得4層元素,"At combat start, enemies gain 4 stacks of Elements.",全ての敵が戦闘開始時にランダムな強化バフを獲得する,
8,深度演进,深度演進,Deep Evolution,深層進化,精英或领主额外获得一种高级特性,精英或領主額外獲得一種高級特性,Enemies gain an additional advanced random trait during elite or boss battles,エリート戦またはボス戦時、敵が追加で高度な特性を1つ獲得する,
9,活性深渊Ⅰ,活性深淵Ⅰ,Active Abyss I,活性化した深淵 I,提高怪物牌权重，降低事件牌权重,提高怪物牌權重，降低事件牌權重,"Increase monster card weight, decrease event card weight",モンスターカードの出現率が上昇し、イベントカードの出現率が低下する,
10,活性深渊Ⅱ,活性深淵Ⅱ,Active Abyss II,活性化した深淵 II,提高精英牌权重，降低建筑牌权重,提高精英牌權重，降低建筑牌權重,"Increase elite card weight, decrease building card weight",エリートカードの出現率が上昇し、建造物カードの出現率が低下する,
11,有限货物,有限貨物,Stock Cap,在庫限定,每个商店最多刷新3次,每個商店最多刷新3次,Each shop can be refreshed a maximum of 3 times,各ショップは最大3回までリフレッシュ可能,
*13,元素潮汐,元素潮汐,Elemental Tide,エレメント潮汐,当进行精英战，所有敌人获得元素身躯,當進行精英戰，所有敵人獲得元素身軀,"During elite battles, all enemies gain {buff_elementalBody}.",エリート戦時、全ての敵が{buff_elementalBody}を獲得する。,
*14,最终防线,最終防線,Last Stand,最後の防衛線,战斗开始时，所有怪物获得25点护盾，每过6层，效果提升3倍,戰鬥開始時，所有怪物獲得25點護盾，每過6層，效果提升3倍,"At combat start, all monsters gain 25 Shield, and the effect triples every 6 levels.",戦闘開始時、すべてのモンスターは20のシールドを獲得し、12階ごとに効果が5倍になります,
15,健忘诅咒,健忘詛咒,Amnesia,固定カード選択枠,卡牌要在打出效果执行后才进入弃牌堆,卡牌要在打出效果執行后才進入抽牌堆,Cards enter the draw pile only after their played effects resolve.,カード選択枠は5に固定されている,
16,精神萎靡,精神萎靡,Lethargy,カード削除コスト増加,卡牌备选区固定为5,卡牌備選區固定為5,The card option slot is fixed at 5.,カード選択枠は5に固定されている,
17,通货膨胀,通貨膨脹,Inflation,インフレーション,删卡价格更高,刪卡價格更高,The price for deleting cards is higher,カード削除の価格が高い,
18,逆向重生,逆向重生,Rebirth,逆向きの再生,打爆队友的墓碑可以复活他们。,打爆隊友的墓碑可以復活他們。,Destroying an ally's tombstone can revive them.,味方の墓碑を破壊すると、その味方を復活させられる。,
*19,虚实边界,虛實邊界,Boundary of False and Real,虚実の境界,战斗开始时，在弃牌堆加入一张幻梦,戰鬥開始時，在棄牌堆加入一張幻夢,"At combat start, add 1 Emptiness to the discard pile.",戦闘開始時、捨て札に幻夢を1枚加える。,
*20,阶位压制,階位壓制,Rank Suppression,階位制圧,18层之后的所有怪物血量翻倍,18層之後的所有怪物血量翻倍,"After floor 18, all monsters' HP is doubled.",18層以降のすべての敵のHPが2倍になる。,
*21,万物衰朽,萬物衰朽,All Things Decay,万物の衰朽,祝福获取量减少,祝福獲取量減少,Blessing gain is reduced.,祝福の獲得量が減少する。,
*22,人力有穷,人力有窮,Limits of Mortal Strength,人力の限界,每次行动时，自身血量-1,每次行動時，自身血量-1,"Whenever you act, take 1 True Damage.",行動するたび、自身は1の真実ダメージを受ける。,
